Date,T2M_MAX,T2M_MIN,T2M,T2MDEW,PRECTOTCORR,ALLSKY_SFC_SW_DWN,WS2M,PS,ReferenceET,Ra,EstimatedElevation_m
1981-07-04,36.43,25.17,30.41,20.07,2.17,,3.45,98.17,,37.9145476411733,258.1077831204352
1981-07-05,33.83,25.57,29.31,21.64,13.19,,3.62,98.24,,37.91656927136169,258.1077831204352
1981-07-06,32.88,23.17,28.04,21.75,12.44,,2.85,98.36,,37.91893374192173,258.1077831204352
1981-07-07,34.82,23.78,29.34,21.15,7.25,,2.15,98.33,,37.92161871709384,258.1077831204352
1981-07-08,34.12,24.16,29.15,20.72,1.45,,3.18,98.32,,37.92460039747226,258.1077831204352
1981-07-09,33.93,24.14,28.68,20.71,7.31,,3.88,98.39,,37.927853550642645,258.1077831204352
1981-07-10,33.01,23.63,27.96,20.69,2.81,,2.88,98.39,,37.93135154368786,258.1077831204352
1981-07-11,32.81,23.76,27.74,20.33,2.14,,3.49,98.38,,37.93506637754633,258.1077831204352
1981-07-12,34.57,22.52,28.7,19.77,3.17,,2.04,98.32,,37.938968723206344,258.1077831204352
1981-07-13,35.47,24.37,29.7,21.21,4.59,,3.11,98.21,,37.943027959717945,258.1077831204352
1981-07-14,33.66,24.9,28.67,21.89,11.51,,3.12,98.23,,37.94721221400215,258.1077831204352
1981-07-15,33.29,23.51,28.35,21.53,2.76,,2.5,98.23,,37.95148840243528,258.1077831204352
1981-07-16,34.72,24.06,29.26,21.34,4.14,,3.76,98.08,,37.95582227418425,258.1077831204352
1981-07-17,31.21,24.43,27.22,21.98,2.87,,3.81,98.16,,37.96017845626633,258.1077831204352
1981-07-18,32.65,23.49,27.69,20.91,6.79,,2.31,98.33,,37.96452050030476,258.1077831204352
1981-07-19,33.95,23.81,28.83,20.66,1.88,,1.87,98.37,,37.968810930948976,258.1077831204352
1981-07-20,33.73,24.34,29.11,21.26,4.22,,1.99,98.16,,37.97301129592593,258.1077831204352
1981-07-21,32.52,24.16,28.1,21.86,4.78,,3.7,98.17,,37.9770822176861,258.1077831204352
1981-07-22,31.29,23.86,27.32,20.13,1.48,,3.42,98.32,,37.98098344660537,258.1077831204352
1981-07-23,31.57,23.59,27.36,20.86,7.65,,0.91,98.4,,37.98467391570076,258.1077831204352
1981-07-24,30.02,23.9,26.74,21.72,5.51,,2.14,98.41,,37.98811179681563,258.1077831204352
1981-07-25,32.93,23.0,27.55,21.66,6.59,,3.58,98.37,,37.991254558226345,258.1077831204352
1981-07-26,30.84,23.04,26.49,21.21,0.82,,3.0,98.48,,37.99405902362019,258.1077831204352
1981-07-27,32.42,22.41,27.83,20.99,3.11,,1.91,98.44,,37.996481432390354,258.1077831204352
1981-07-28,31.53,23.92,27.3,22.24,9.68,,3.15,98.29,,37.998477501191616,258.1077831204352
1981-07-29,29.19,23.62,26.07,22.62,4.18,,2.57,98.34,,38.000002486696324,258.1077831204352
1981-07-30,32.43,22.26,26.85,20.45,3.96,,1.86,98.56,,38.00101124948799,258.1077831204352
1981-07-31,31.31,22.45,27.1,20.72,1.01,,1.81,98.51,,38.001458319025886,258.1077831204352
1981-08-01,34.55,22.96,28.55,20.3,0.84,,2.73,98.3,,38.00129795961147,258.1077831204352
1981-08-02,32.58,23.58,27.87,20.11,1.25,,2.11,98.3,,38.000484237284,258.1077831204352
1981-08-03,34.26,23.14,28.88,20.61,1.62,,1.73,98.37,,37.998971087569714,258.1077831204352
1981-08-04,33.28,24.52,28.6,21.43,1.37,,2.55,98.38,,37.996712384005946,258.1077831204352
1981-08-05,33.91,23.99,28.48,21.82,1.6,,2.45,98.29,,37.99366200735859,258.1077831204352
1981-08-06,32.9,23.76,27.91,21.18,0.98,,2.74,98.35,,37.98977391544814,258.1077831204352
1981-08-07,35.97,23.55,29.18,19.64,0.3,,2.29,98.32,,37.985002213497246,258.1077831204352
1981-08-08,35.35,23.8,29.63,20.37,1.51,,1.8,98.28,,37.97930122490932,258.1077831204352
1981-08-09,37.16,24.63,30.62,21.17,1.23,,2.45,98.24,,37.972625562385915,258.1077831204352
1981-08-10,32.03,25.19,28.36,22.78,2.32,,2.62,98.32,,37.9649301992873,258.1077831204352
1981-08-11,29.79,24.58,26.86,22.84,5.16,,2.25,98.35,,37.95617054113895,258.1077831204352
1981-08-12,33.06,23.06,28.33,21.26,1.19,,1.56,98.27,,37.94630249718414,258.1077831204352
1981-08-13,31.43,23.87,27.76,21.66,2.44,,2.13,98.32,,37.93528255188091,258.1077831204352
1981-08-14,31.94,23.49,27.53,21.8,8.25,,1.7,98.37,,37.923067836239916,258.1077831204352
1981-08-15,33.8,23.88,28.76,21.89,6.17,,1.85,98.35,,37.90961619889779,258.1077831204352
1981-08-16,32.76,24.5,27.78,22.84,10.64,,3.0,98.18,,37.89488627681927,258.1077831204352
1981-08-17,33.14,23.09,27.64,22.54,12.98,,2.36,98.13,,37.878837565520385,258.1077831204352
1981-08-18,29.82,23.37,26.31,22.92,9.61,,2.96,98.33,,37.86143048870334,258.1077831204352
1981-08-19,30.03,23.51,26.34,22.03,1.95,,1.78,98.44,,37.84262646719361,258.1077831204352
1981-08-20,31.61,23.75,27.1,21.43,3.14,,1.85,98.44,,37.82238798706846,258.1077831204352
1981-08-21,33.2,21.84,27.52,21.32,0.97,,1.93,98.43,,37.800678666866716,258.1077831204352
1981-08-22,32.05,22.47,27.13,21.41,8.67,,2.14,98.5,,37.77746332376828,258.1077831204352
1981-08-23,31.44,21.91,26.7,22.28,9.6,,2.09,98.39,,37.752708038633415,258.1077831204352
1981-08-24,32.15,22.78,26.93,22.64,2.43,,2.89,98.17,,37.726380219791054,258.1077831204352
1981-08-25,31.92,22.92,26.9,21.6,1.33,,3.17,98.32,,37.6984486654669,258.1077831204352
1981-08-26,32.61,21.91,27.3,21.46,2.06,,1.77,98.45,,37.66888362474272,258.1077831204352
1981-08-27,32.54,23.75,27.39,21.35,3.27,,2.23,98.38,,37.63765685693944,258.1077831204352
1981-08-28,31.19,22.84,26.72,21.8,3.01,,1.9,98.24,,37.60474168931817,258.1077831204352
1981-08-29,28.79,22.74,25.14,21.46,3.59,,2.33,98.26,,37.57011307299537,258.1077831204352
1981-08-30,31.21,21.39,26.74,21.28,3.29,,1.24,98.43,,37.53374763696981,258.1077831204352
1981-08-31,32.3,23.35,27.84,21.5,1.35,,1.68,98.29,,37.49562374016199,258.1077831204352
1981-09-01,33.15,23.17,27.66,21.63,1.97,,2.83,98.16,,37.45572152136872,258.1077831204352
1981-09-02,30.64,23.65,26.95,21.97,0.73,,2.49,98.2,,37.41402294703878,258.1077831204352
1981-09-03,33.18,22.65,27.21,21.58,9.87,,2.87,98.07,,37.37051185677834,258.1077831204352
1981-09-04,31.42,22.98,26.49,22.09,7.79,,2.43,98.24,,37.32517400649884,258.1077831204352
1981-09-05,30.31,22.4,25.88,20.74,4.19,,1.52,98.47,,37.277997109122616,258.1077831204352
1981-09-06,32.9,21.76,27.14,21.77,6.48,,1.87,98.4,,37.228970872766624,258.1077831204352
1981-09-07,28.84,23.16,25.76,22.47,0.95,,2.41,98.31,,37.17808703632758,258.1077831204352
1981-09-08,30.59,22.97,26.17,21.96,3.85,,2.64,98.32,,37.125339402397145,258.1077831204352
1981-09-09,30.83,22.08,26.3,20.96,4.03,,1.39,98.46,,37.070723867439405,258.1077831204352
